github_org,org_type,govuk_slug,england_planning_data_reference,wikidata_id,site_slug,site_url
ONSBigData,gov_uk,office-for-national-statistics,,Q1334971,office-for-national-statistics,https://publicsectorcodebyorg.co.uk/org/office-for-national-statistics
ONS-OpenData,gov_uk,office-for-national-statistics,,Q1334971,office-for-national-statistics,https://publicsectorcodebyorg.co.uk/org/office-for-national-statistics
datasciencecampus,gov_uk,office-for-national-statistics,,Q1334971,office-for-national-statistics,https://publicsectorcodebyorg.co.uk/org/office-for-national-statistics
best-practice-and-impact,gov_uk,office-for-national-statistics,,Q1334971,office-for-national-statistics,https://publicsectorcodebyorg.co.uk/org/office-for-national-statistics
companieshouse,gov_uk,companies-house,,Q257303,companies-house,https://publicsectorcodebyorg.co.uk/org/companies-house
LandRegistry,gov_uk,land-registry,,Q5635120,land-registry,https://publicsectorcodebyorg.co.uk/org/land-registry
UKForeignOffice,gov_uk,foreign-commonwealth-development-office,,Q358834,foreign-commonwealth-development-office,https://publicsectorcodebyorg.co.uk/org/foreign-commonwealth-development-office
DFID,gov_uk,foreign-commonwealth-development-office,,Q358834,foreign-commonwealth-development-office,https://publicsectorcodebyorg.co.uk/org/foreign-commonwealth-development-office
nationalarchives,gov_uk,the-national-archives,,Q392703,the-national-archives,https://publicsectorcodebyorg.co.uk/org/the-national-archives
digital-preservation,gov_uk,the-national-archives,,Q392703,the-national-archives,https://publicsectorcodebyorg.co.uk/org/the-national-archives
NationalCrimeAgency,gov_uk,national-crime-agency,,Q6971994,national-crime-agency,https://publicsectorcodebyorg.co.uk/org/national-crime-agency
FoodStandardsAgency,gov_uk,food-standards-agency,,Q2741994,food-standards-agency,https://publicsectorcodebyorg.co.uk/org/food-standards-agency
fsadata,gov_uk,food-standards-agency,,Q2741994,food-standards-agency,https://publicsectorcodebyorg.co.uk/org/food-standards-agency
CPS-Innovation,gov_uk,crown-prosecution-service,,Q1141790,crown-prosecution-service,https://publicsectorcodebyorg.co.uk/org/crown-prosecution-service
UK-Export-Finance,gov_uk,uk-export-finance,,Q4158541,uk-export-finance,https://publicsectorcodebyorg.co.uk/org/uk-export-finance
cmagovuk,gov_uk,competition-and-markets-authority,,Q18363996,competition-and-markets-authority,https://publicsectorcodebyorg.co.uk/org/competition-and-markets-authority
OfqualGovUK,gov_uk,ofqual,,Q7079769,ofqual,https://publicsectorcodebyorg.co.uk/org/ofqual
forestresearch,gov_uk,forestry-commission,,Q1437242,forestry-commission,https://publicsectorcodebyorg.co.uk/org/forestry-commission
ukhsa-collaboration,gov_uk,uk-health-security-agency,,Q104336949,uk-health-security-agency,https://publicsectorcodebyorg.co.uk/org/uk-health-security-agency
UKHSA-Internal,gov_uk,uk-health-security-agency,,Q104336949,uk-health-security-agency,https://publicsectorcodebyorg.co.uk/org/uk-health-security-agency
ukncsc,gov_uk,national-cyber-security-centre,,Q23688635,national-cyber-security-centre,https://publicsectorcodebyorg.co.uk/org/national-cyber-security-centre
gchq,gov_uk,government-communications-headquarters,,Q220798,government-communications-headquarters,https://publicsectorcodebyorg.co.uk/org/government-communications-headquarters
CareQualityCommission,gov_uk,care-quality-commission,,Q5038860,care-quality-commission,https://publicsectorcodebyorg.co.uk/org/care-quality-commission
dvsa,gov_uk,driver-and-vehicle-standards-agency,,Q16974184,driver-and-vehicle-standards-agency,https://publicsectorcodebyorg.co.uk/org/driver-and-vehicle-standards-agency
dvla,gov_uk,driver-and-vehicle-licensing-agency,,Q5308010,driver-and-vehicle-licensing-agency,https://publicsectorcodebyorg.co.uk/org/driver-and-vehicle-licensing-agency
BritishMuseum,gov_uk,british-museum,,Q6373,british-museum,https://publicsectorcodebyorg.co.uk/org/british-museum
BritishMuseumDH,gov_uk,british-museum,,Q6373,british-museum,https://publicsectorcodebyorg.co.uk/org/british-museum
intellectual-property-office,gov_uk,intellectual-property-office,,Q4052127,intellectual-property-office,https://publicsectorcodebyorg.co.uk/org/intellectual-property-office
CDPS-Wales,gov_uk,welsh-government,,Q3112646,welsh-government,https://publicsectorcodebyorg.co.uk/org/welsh-government
guidance-guarantee-programme,gov_uk,single-financial-guidance-body,,Q7751985,single-financial-guidance-body,https://publicsectorcodebyorg.co.uk/org/single-financial-guidance-body
OrdnanceSurvey,gov_uk,ordnance-survey,,Q548721,ordnance-survey,https://publicsectorcodebyorg.co.uk/org/ordnance-survey
UKSpaceAgency,gov_uk,uk-space-agency,,Q1140638,uk-space-agency,https://publicsectorcodebyorg.co.uk/org/uk-space-agency
MHRA,gov_uk,medicines-and-healthcare-products-regulatory-agency,,Q1916302,medicines-and-healthcare-products-regulatory-agency,https://publicsectorcodebyorg.co.uk/org/medicines-and-healthcare-products-regulatory-agency
HMPO,gov_uk,hm-passport-office,,Q5988335,hm-passport-office,https://publicsectorcodebyorg.co.uk/org/hm-passport-office
Network-Rail-Business-Systems,gov_uk,network-rail,,Q1501071,network-rail,https://publicsectorcodebyorg.co.uk/org/network-rail
Crown-Commercial-Service,gov_uk,government-commercial-agency,,Q5589070,government-commercial-agency,https://publicsectorcodebyorg.co.uk/org/government-commercial-agency
,gov_uk,uk-research-and-innovation,,Q38609561,uk-research-and-innovation,https://publicsectorcodebyorg.co.uk/org/uk-research-and-innovation
